,name,time,content,source,url
0,AAPL,661962240,Dow Jones Stocks To Buy And Watch In December 2020: Apple Jumps Nearly 5%,Investor's Business Daily,https://www.investors.com/research/dow-jones-stocks/?src=A00220
1,AAPL,661918080,US STOCKS-S&P 500 struggles for direction as new COVID worries outweigh stimulus-passage boost,Reuters,https://finance.yahoo.com/news/us-stocks-p-500-struggles-190858647.html
2,AAPL,661917240,"Dow Jones Drops as Apple Plans Electric Car, Boeing Secures 737 MAX Order",Motley Fool,https://www.fool.com/investing/2020/12/22/dow-jones-drops-as-apple-plans-electric-car-boeing/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
3,AAPL,661917120,"Dow Falls Ahead Of Trump Stimulus Signature, Schumer Wants 'Much More;' Apple Smokes Tesla",Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/dow-jones-falls-donald-trump-coronavirus-stimulus-signature-schumer-wants-more-apple-stock-smokes-tesla-stock/?src=A00220
4,AAPL,661916700,"Apple targets car production, eyes batteries: Reuters",Yahoo Finance Video,https://finance.yahoo.com/video/apple-targets-car-production-eyes-184528112.html
5,AAPL,661916640,Lidar and EV Charging Stocks Jump on Apple Electric Car Report,TheStreet.com,https://www.thestreet.com/investing/lidar-ev-charging-stocks-jump-on-apple-electric-car-report?puc=yahoo&cm_ven=YAHOO
6,AAPL,661915740,Apple Electric Car Splits Wall Street on Its Potential,Motley Fool,https://www.fool.com/investing/2020/12/22/apple-electric-car-splits-wall-street-on-potential/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
7,AAPL,661915680,Top 4 Mutual Fund Holders of Roku Inc. (ROKU),Investopedia,https://www.investopedia.com/insights/top-mutual-fund-holders-roku-inc/?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
8,AAPL,661915680,Companies Owned by AAPL,Investopedia,https://www.investopedia.com/investing/top-companies-owned-apple/?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
9,AAPL,661915260,Top Apple Shareholders,Investopedia,https://www.investopedia.com/articles/markets/120115/top-5-apple-shareholders.asp?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
